Groupe 4_1513095222913_25	1513155823932 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_b82c8944-d213-9c83-b5d9-6fa91aab4c96_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_26	1513155862650 ; Groupe 4 ; UPDATE ; activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_a5fd2cbb-704c-bf26-2450-fdca4c944042_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit updated	
Groupe 4_1513095222913_27	1513156098699 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; application_Chronomètre_68d2d2c2-0671-3424-7c24-184143d49062_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; timer started	
Groupe 4_1513095222913_28	1513156099027 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; application_Chronomètre_68d2d2c2-0671-3424-7c24-184143d49062_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; timer started	
Groupe 4_1513095222913_29	1513156099028 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; application_Chronomètre_68d2d2c2-0671-3424-7c24-184143d49062_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; timer started	
Groupe 4_1513095222913_3	1513153918153 ; Groupe 4 ; OPEN ; activity_4fd6a8a7-a725-f811-3173-b6b1f42835ae_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; activity_4fd6a8a7-a725-f811-3173-b6b1f42835ae_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; open activity view	
Groupe 4_1513095222913_30	1513156099031 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; application_Chronomètre_68d2d2c2-0671-3424-7c24-184143d49062_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; timer started	
Groupe 4_1513095222913_31	1513156121491 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_7375fa1a-7280-e23d-ee8f-84b2595849a7_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_32	1513156140813 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bcf5c790-7ccd-d102-f6ea-dbfcf8cef9f9_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_33	1513156170480 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bd4450bc-b3ef-45c3-8f6d-9d83baebfa0b_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_34	1513156210152 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bfce5294-bae0-f535-4609-f9a3f08448a8_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_35	1513156498118 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_7375fa1a-7280-e23d-ee8f-84b2595849a7_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_36	1513156505491 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bfce5294-bae0-f535-4609-f9a3f08448a8_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_37	1513157032212 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bfce5294-bae0-f535-4609-f9a3f08448a8_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_38	1513157081426 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_7375fa1a-7280-e23d-ee8f-84b2595849a7_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_39	1513157090575 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bd4450bc-b3ef-45c3-8f6d-9d83baebfa0b_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_4	1513154306331 ; Groupe 4 ; OPEN ; NA ; NA ; open activities list	
Groupe 4_1513095222913_40	1513157098370 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_bcf5c790-7ccd-d102-f6ea-dbfcf8cef9f9_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_41	1513157111239 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_66f8b509-f345-6554-0efe-028470816c7c_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_42	1513157118172 ; Groupe 4 ; UPDATE ; activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_66f8b509-f345-6554-0efe-028470816c7c_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_43	1513157144925 ; Groupe 4 ; UPDATE ; activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_45600344-2798-edaf-8d36-0a609a5b5c69_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_44	1513157151504 ; Groupe 4 ; UPDATE ; activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_3295ceca-0250-6bee-6baf-7033515b6617_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_45	1513157186704 ; Groupe 4 ; UPDATE ; activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; ressource_application_Post-it_Postit_a5fd2cbb-704c-bf26-2450-fdca4c944042_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; postit moved	
Groupe 4_1513095222913_46	1513157251747 ; Groupe 4 ; UPDATE ; activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; application_Chronomètre_78c838e7-5a90-d6ba-199e-aeea8c9022a3_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; timer started	
Groupe 4_1513095222913_47	1513157252071 ; Groupe 4 ; UPDATE ; activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; application_Chronomètre_78c838e7-5a90-d6ba-199e-aeea8c9022a3_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; timer started	
Groupe 4_1513095222913_48	1513158155714 ; Groupe 4 ; UPDATE ; activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; application_Chronomètre_95cf89d1-10cb-769c-4f56-068b49a4d820_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; timer started	
Groupe 4_1513095222913_49	1513158156260 ; Groupe 4 ; UPDATE ; activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; application_Chronomètre_95cf89d1-10cb-769c-4f56-068b49a4d820_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; timer started	
Groupe 4_1513095222913_5	1513154333855 ; Groupe 4 ; OPEN ; activity_4fd6a8a7-a725-f811-3173-b6b1f42835ae_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; activity_4fd6a8a7-a725-f811-3173-b6b1f42835ae_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; open activity view	
Groupe 4_1513095222913_50	1513159036567 ; Groupe 4 ; CREATE ; activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_237faefa-b1d2-df47-72e2-167b60c6f320 ; resource_1513158896047-118443474.jpg ; resource created	
